retailer_id,territory_id,state,district,tehsil,trust_level,emotional_state,preferred_language,preferred_channel,relationship_stage,farmer_name,memory_context,relationship_message,season_stage,season_advisory,panic_state,trust_score,farmer_question,detected_language,question_english,relationship_response_english,localized_response
RTL_00001,TER_0001,Bihar,Patna,Patna_T012,TRUSTED,HOPEFUL,Hindi,Voice Call,2nd Season,Farmer_0,successful fertilizer intervention last season,Farmer_0 ji 🙏 Last season you mentioned successful fertilizer intervention last season. We are monitoring similar conditions this week.,VEGETATIVE,Monitor pests proactively,NORMAL,0.9,মাটিতে আর্দ্রতা বেশি আছে,bn,There is more moisture in the soil,Namaste Farmer_0 ji 🙏 We remember your previous season. successful fertilizer intervention last season. Your crop situation can improve with early monitoring.,नमस्ते किसान_0 जी 🙏 हमें आपका पिछला सीज़न याद है। पिछले सीज़न में सफल उर्वरक हस्तक्षेप। शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00002,TER_0001,Bihar,Patna,Patna_T004,COLD,ANXIOUS,Hindi,Voice Call,2nd Season,Farmer_1,previous pest outbreak recovered successfully,"Farmer_1 ji, field conditions require attention this week. Our field officer may contact you soon.",POST_HARVEST,Season reflection and future planning,PANIC,0.3,மழைக்கு பிறகு பிரச்சனை அதிகரித்தது,ta,The problem increased after the rains,"Farmer_1 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","किसान_1 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछला कीट प्रकोप सफलतापूर्वक ठीक हो गया था। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00003,TER_0001,Bihar,Patna,Patna_T002,WARM,STABLE,Hindi,Voice Call,1st Season,Farmer_2,delayed sowing due to rainfall uncertainty,Namaste Farmer_2 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,POST_HARVEST,Season reflection and future planning,NORMAL,0.6,மழைக்கு பிறகு பிரச்சனை அதிகரித்தது,ta,The problem increased after the rains,We noticed similar field conditions nearby. Timely action can reduce crop stress risk.,हमने आस-पास ऐसी ही फ़ील्ड स्थितियां देखीं। समय पर कार्रवाई से फसल तनाव के जोखिम को कम किया जा सकता है।
RTL_00004,TER_0001,Bihar,Patna,Patna_T007,WARM,STABLE,Hindi,Field Visit,2nd Season,Farmer_3,last season yellowing after heavy rain,Namaste Farmer_3 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,PEST_SEASON,Stabilize farmer emotions before product push,PANIC,0.6,My crop growth is slowing,en,My crop growth is slowing,"Farmer_3 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","किसान_3 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछले सीज़न में भारी बारिश के बाद पीलापन। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00005,TER_0001,Bihar,Patna,Patna_T007,TRUSTED,HOPEFUL,Hindi,WhatsApp,4th Season,Farmer_4,high yielding crop during Kharif season,Farmer_4 ji 🙏 Last season you mentioned high yielding crop during Kharif season. We are monitoring similar conditions this week.,PRE_HARVEST,Mandi timing intelligence,NORMAL,0.9,મારા ખેતરમાં પાણી વધારે છે,gu,Water is high in my farm,Namaste Farmer_4 ji 🙏 We remember your previous season. high yielding crop during Kharif season. Your crop situation can improve with early monitoring.,नमस्ते किसान_4 जी 🙏 हमें आपका पिछला सीज़न याद है। ख़रीफ़ सीज़न के दौरान अधिक उपज देने वाली फसल। शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00006,TER_0001,Bihar,Patna,Patna_T006,TRUSTED,HOPEFUL,Hindi,WhatsApp,2nd Season,Farmer_5,high yielding crop during Kharif season,Farmer_5 ji 🙏 Last season you mentioned high yielding crop during Kharif season. We are monitoring similar conditions this week.,PRE_SOWING,Build confidence before sowing,NORMAL,0.9,ಪಂಟಿಗೆ ರೋಗ ಬಂದಿದೆ,kn,Panti has got a disease,Namaste Farmer_5 ji 🙏 We remember your previous season. high yielding crop during Kharif season. Your crop situation can improve with early monitoring.,नमस्ते किसान_5 जी 🙏 हमें आपका पिछला सीज़न याद है। ख़रीफ़ सीज़न के दौरान अधिक उपज देने वाली फसल। शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00007,TER_0001,Bihar,Patna,Patna_T009,TRUSTED,HOPEFUL,Hindi,Voice Call,2nd Season,Farmer_6,successful fertilizer intervention last season,Farmer_6 ji 🙏 Last season you mentioned successful fertilizer intervention last season. We are monitoring similar conditions this week.,EARLY_GROWTH,Encourage healthy crop monitoring,NORMAL,0.9,धान की फसल कमजोर लग रही है,hi,Paddy crop looks weak,Namaste Farmer_6 ji 🙏 We remember your previous season. successful fertilizer intervention last season. Your crop situation can improve with early monitoring.,नमस्ते किसान_6 जी 🙏 हमें आपका पिछला सीज़न याद है। पिछले सीज़न में सफल उर्वरक हस्तक्षेप। शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00008,TER_0001,Bihar,Patna,Patna_T008,COLD,ANXIOUS,Hindi,WhatsApp,2nd Season,Farmer_7,last season yellowing after heavy rain,"Farmer_7 ji, field conditions require attention this week. Our field officer may contact you soon.",EARLY_GROWTH,Encourage healthy crop monitoring,PANIC,0.3,মাটিতে আর্দ্রতা বেশি আছে,bn,There is more moisture in the soil,"Farmer_7 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","किसान_7 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछले सीज़न में भारी बारिश के बाद पीलापन। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00009,TER_0001,Bihar,Patna,Patna_T007,WARM,STABLE,Hindi,Field Visit,1st Season,Farmer_8,farmer concerned about mandi prices,Namaste Farmer_8 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,EARLY_GROWTH,Encourage healthy crop monitoring,NORMAL,0.6,धान की फसल कमजोर लग रही है,hi,Paddy crop looks weak,We noticed similar field conditions nearby. Timely action can reduce crop stress risk.,हमने आस-पास ऐसी ही फ़ील्ड स्थितियां देखीं। समय पर कार्रवाई से फसल तनाव के जोखिम को कम किया जा सकता है।
RTL_00010,TER_0002,Haryana,Hisar,Hisar_T001,WARM,STABLE,Hindi,WhatsApp,4th Season,Farmer_9,previous pest outbreak recovered successfully,Namaste Farmer_9 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,PRE_HARVEST,Mandi timing intelligence,PANIC,0.6,बारिश के बाद समस्या बढ़ गई,hi,The problem increased after the rain,"Farmer_9 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","किसान_9 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछला कीट प्रकोप सफलतापूर्वक ठीक हो गया था। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00011,TER_0002,Haryana,Hisar,Hisar_T004,TRUSTED,HOPEFUL,Punjabi,Voice Call,4th Season,Farmer_10,farmer concerned about mandi prices,Farmer_10 ji 🙏 Last season you mentioned farmer concerned about mandi prices. We are monitoring similar conditions this week.,VEGETATIVE,Monitor pests proactively,NORMAL,0.9,बारिश के बाद समस्या बढ़ गई,hi,The problem increased after the rain,Namaste Farmer_10 ji 🙏 We remember your previous season. farmer concerned about mandi prices. Your crop situation can improve with early monitoring.,ਨਮਸਤੇ ਕਿਸਾਨ_10 ਜੀ 🙏 ਸਾਨੂੰ ਤੁਹਾਡਾ ਪਿਛਲਾ ਸੀਜ਼ਨ ਯਾਦ ਹੈ। ਮੰਡੀ ਦੀਆਂ ਕੀਮਤਾਂ ਨੂੰ ਲੈ ਕੇ ਚਿੰਤਤ ਕਿਸਾਨ ਸ਼ੁਰੂਆਤੀ ਨਿਗਰਾਨੀ ਨਾਲ ਤੁਹਾਡੀ ਫਸਲ ਦੀ ਸਥਿਤੀ ਵਿੱਚ ਸੁਧਾਰ ਹੋ ਸਕਦਾ ਹੈ।
RTL_00012,TER_0002,Haryana,Hisar,Hisar_T007,COLD,ANXIOUS,Punjabi,Field Visit,3rd Season,Farmer_11,last season yellowing after heavy rain,"Farmer_11 ji, field conditions require attention this week. Our field officer may contact you soon.",PRE_SOWING,Build confidence before sowing,PANIC,0.3,મારા ખેતરમાં પાણી વધારે છે,gu,Water is high in my farm,"Farmer_11 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","ਕਿਸਾਨ_11 ਜੀ, ਅਸੀਂ ਤੁਹਾਡੀ ਚਿੰਤਾ ਨੂੰ ਸਮਝਦੇ ਹਾਂ। ਸਾਨੂੰ ਯਾਦ ਹੈ: ਪਿਛਲੇ ਸੀਜ਼ਨ ਭਾਰੀ ਬਾਰਿਸ਼ ਦੇ ਬਾਅਦ ਪੀਲਾ. ਕਿਰਪਾ ਕਰਕੇ ਘਬਰਾਓ ਨਾ। ਸਾਡੀ ਫੀਲਡ ਟੀਮ ਤੁਰੰਤ ਤੁਹਾਡਾ ਸਮਰਥਨ ਕਰੇਗੀ।"
RTL_00013,TER_0002,Haryana,Hisar,Hisar_T007,COLD,ANXIOUS,Hindi,Field Visit,3rd Season,Farmer_12,successful fertilizer intervention last season,"Farmer_12 ji, field conditions require attention this week. Our field officer may contact you soon.",EARLY_GROWTH,Encourage healthy crop monitoring,NORMAL,0.3,धान की फसल कमजोर लग रही है,hi,Paddy crop looks weak,We noticed your field conditions may need attention. Our advisory team recommends monitoring this week.,हमने देखा कि आपके क्षेत्र की स्थितियों पर ध्यान देने की आवश्यकता हो सकती है। हमारी सलाहकार टीम इस सप्ताह निगरानी की अनुशंसा करती है।
